t_over_beta,eps_0.05_s_10,eps_0.02_s_10,eps_0.01_s_10,eps_0.005_s_10,eps_0.02_s_20,eps_0.01_s_20,eps_0.005_s_20,eps_0.005_s_40
8.250000000000000666e-01,3.011024753635007656e+00,2.975566273823954777e+00,2.963622396251571978e+00,2.957638632578041715e+00,3.395806617118745763e+00,3.369284715426176025e+00,3.355950622507787084e+00,3.592487549591942830e+00
8.375000000000000222e-01,3.076243076899076279e+00,3.039846588199799360e+00,3.027586860792519374e+00,3.021444771834569387e+00,3.467317123063117457e+00,3.440117079654520627e+00,3.426442030670930894e+00,3.666959350476113322e+00
8.500000000000000888e-01,3.141577338924062879e+00,3.104236071055126001e+00,3.091658232753831115e+00,3.085356686951279848e+00,3.538919897855651975e+00,3.511037559475777226e+00,3.497019482104743116e+00,3.741508631987710665e+00
8.625000000000000444e-01,3.207020743173669253e+00,3.168728123276274733e+00,3.155829980618497288e+00,3.149367880588152424e+00,3.610608962434541880e+00,3.582040315828095789e+00,3.567677209113070180e+00,3.816130010220814661e+00
8.750000000000000000e-01,3.272566889976582516e+00,3.233316538598297374e+00,3.220095964353165030e+00,3.213472246200019811e+00,3.682378725426993071e+00,3.653119893819550601e+00,3.638409826376933776e+00,3.890818473885285123e+00
8.875000000000000666e-01,3.338209754114955352e+00,3.297995481176455801e+00,3.284450412971230193e+00,3.277664045595129139e+00,3.754223958451188281e+00,3.724271198050161491e+00,3.709212306277144489e+00,3.965569358959345259e+00
9.000000000000000222e-01,3.403943663557507548e+00,3.362759464309072133e+00,3.348887903249165632e+00,3.341937887648748884e+00,3.826139772909849412e+00,3.795489469420580075e+00,3.780079955716109108e+00,4.040378324988355807e+00
9.125000000000000888e-01,3.469763279295238867e+00,3.427603330270014848e+00,3.413403339556481342e+00,3.406288708129607379e+00,3.898121598191811366e+00,3.866770263362334870e+00,3.851008394357499309e+00,4.115241332923626594e+00
9.250000000000000444e-01,3.535663576237067396e+00,3.492522231207412009e+00,3.477991934752964198e+00,3.470711750596509049e+00,3.970165161211813398e+00,3.938109429406321471e+00,3.921993534206340559e+00,4.190154624444427434e+00
9.375000000000000000e-01,3.601639825122268768e+00,3.557511611064984702e+00,3.542649192109974088e+00,3.535202548320579119e+00,4.042266467214623127e+00,4.009503092019057746e+00,3.993031560463907947e+00,4.265114702642656574e+00
9.500000000000000666e-01,3.667687575406622713e+00,3.622567188482842315e+00,3.607370888215592153e+00,3.599756907190189814e+00,4.114421781772208853e+00,4.080947632640087974e+00,4.064118913580458070e+00,4.340118314002766375e+00
9.625000000000000222e-01,3.733802639079526031e+00,3.687684940634233133e+00,3.672153056815746552e+00,3.664370889553927313e+00,4.186627613910093082e+00,4.152439672847167529e+00,4.135252272441174881e+00,4.415162431574699120e+00
9.750000000000000888e-01,3.799981075369840866e+00,3.752861087955848607e+00,3.736991973550783719e+00,3.729040798961880121e+00,4.258880700294814581e+00,4.223976058587837201e+00,4.206428538619428892e+00,4.490244239310688279e+00
9.875000000000000444e-01,3.866219176298963944e+00,3.818092079730134092e+00,3.801884141546445939e+00,3.793763165758380573e+00,4.331177990423156210e+00,4.295553845417003913e+00,4.277644821635117722e+00,4.565361117443736738e+00
1.000000000000000000e+00,3.932513453040662021e+00,3.883374580478096139e+00,3.866826277816191926e+00,3.858534733490573743e+00,4.403516632753754045e+00,4.367170284675260916e+00,4.348898425160754755e+00,4.640510628855863295e+00
